Goal,Level,Time,1st time,85% time,,,,,Notes,
15 Creature Compendium Entries,15,,21.51,18.28,Compendium,Camera,,,,
Upgrade any Armor Piece Once,15,24.15,27.44,23.32,Stables,Great Fairies,Armor,Penn,"Climbing boots, 3x keese wing, 3x Rushroom, rupees, Penn, horse, 3 pony points, great fairy",
Trousers of the Wild,15,,47.48,40.36,Armor,Depths,,"Flamebreaker armor (700 rupees) flameproof elixer, depths Eldin Dark skeleton north of fire temple",,
Full Ember Set,15,30.32,47.07,40.01,Armor,Caves,,,,
Obtain Fierce Deity Mask,15,,15.54,13.21,Armor,Caves,North Akkala,,,
6 Penn Side Adventures,15,51.19,55.02,46.77,Penn,Stable,Lindor'sBrow,,,
Zonaite Waistguard,15,8.35,8.35,7.10,Armor,Sky,,,,
Serenade to Mija SA (Hebra),16,,47.30,40.21,Pikida Stonegrove,Stables,Side Adventures,Great Fairies,Penn,timed from 24.32
Serenade to Kaysa SA (Outskirt),16,,50.22,42.69,Hyrule Field,Stables,Side Adventures,Great Fairies,Penn,
16 Shrines,16,51.21,60.54,51.46,Shrines,,,,,
10 Shrine Quests,16,,54.04,45.93,Shrines,,,,,
5 Fabrics from Sayge,16,,25.29,21.50,Fabrics,Mount Lanayru,Camera,,,
Cook Dark Stew,16,6.14,9.11,7.74,Recipes,,"dark clump, raw meat, fish, effect item (Spicy Pepper for ex.)",,,
Mystic Robes,16,,38.19,32.46,Armor,Koltin,8 bubbul Gems,,,
Retain 15 Unique Zonai Devices,16,16.36,17.05,14.49,Sky,Device Dispensers,,,,
A Monsterous Collection III SA,16,52.51,55.45,47.13,Koltin,Camera,Talus,,,
Hebra's Colossal Fossil SQ,16,,46.54,39.56,Side Quests,Rospro Pass,must have something for melting the ice.  I burned to lit two stick weapons and that melted it fast (the sticks were still there),,,
Ousting the Giants SQ,16,18.03,20.36,17.31,Side Quests,Combat,Popla Foothills,,,
Full Frostbite Set,16,22.20,34.25,29.11,Armor,Caves,,,,
Defeat a Frost and Igneo Talus,17,21.13,23.17,19.69,Combat,Hebra,Eldin Canyon,Talus,,
Defeat a Blue and Black Hinox,17,,15.18,12.90,Combat,,,,,
Defeat Kohga Twice,17,35.29,41.16,34.99,Combat,Depths,,,,
Obtain Biggoron's Sword,17,,16.27,13.83,Combat,Depths,Weapons,,,
Full Awakening Set,17,,19.15,16.28,Armor,Hyrule Field,Lindor's Brow,,,
Complete 10 Side Quests/Adventures,17,40.43,52.13,44.31,Side Quests,,,,,
Discover Goflam's Lavafalls,17,,31.30,26.61,Lavafalls,Hebra,,,,
Discover Sturnida Lavafalls,17,,36.36,30.91,Lavafalls,Hebra,,,,
Complete 7 Stable Picture Side Quests,17,,104.36,88.71,Side Quests,Stables,Camera,Travel,Must do Reginal Phenomenon first,
The Missing Owner SQ,17,30.38,36.19,30.76,Side Quests,Combat,Gerudo Canyon,,,
20 Unique Armor Pieces,17,69.46,88.19,74.96,Armor,Caves,Depths,,,
Defeat a Blue-White Frox ,17,9.33,13.20,11.22,Combats,Depths,,,,
Upgrade any Armor Piece Twice,17,,71.26,60.57,Stables,Great Fairies,Armor,Penn,Upgard once plus (5) electric keese wings (5) hightail lizard,
Cap of the Wild,17,,36.30,30.86,Armor,Depths,,,,
Tunic of the Wild,17,24.25,35.57,30.23,Armor,Depths,,,,
Homegrown in Hateno,17,,35.16,29.89,Combat,Hateno ,Reese,,"Mayor election pre-req, Stal enemies, use spears ideally, protect Reese",
Defeat an Armored Lynel,18,,13.58,11.54,Combat,,,,,
Defeat a Molduga while riding a Sand Seal,18,29.24,46.12,39.20,Combat,Gerudo Canyon,Molduga,,,
Defeat a Flame Gleeok,18,,28.44,24.17,Combat,Gleeok,,,,
Activate 10 Lightroots,18,23.31,36.52,31.04,Depths,,,,,
Collect 5 Dragon Tear Memories,18,23.23,23.23,19.75,Lindor's Brow,Tears,,,,
4 Gerudo Highlands Shrines,18,,31.05,26.39,Gerudo Highlands,Shrines,,,,
Obtain Fierce Deity's Sword,18,21.03,23.03,19.58,Armor,Weapons,Ulri Mountain,Lookout Landing,Eldin Canyon,
Discover Sherfin's Lavafalls,18,,38.44,32.67,Lavafalls,Hebra,,,,
A Monsterous Collection IV SA,18,,57.15,48.58,Koltin,Camera,Frox,Depths,,
Whirly Swirly Things SQ,18,35.55,40.20,34.17,Side Quests,Camera,Lost Woods,Combat,"Must free Deku tree, and pic of whirlpool, then pic of sand whirlpool",
Full Yiga Set,18,,36.49,31.02,Yiga,Armor,Ulri Mountain,Hyrule Field,Thyphlo Ruins,
10 Autobuild Schematics,18,,94.42,80.26,Depths,Travel,Autobuild,,,
Use 15 Device Dispensers in the Sky,18,,49.22,41.84,Sky,Device Dispensers,,,,
Zant's Helmet,18,,45.44,38.62,Depths,Combat,Coliseums,,,
10 Yiga Schematics,18,,106.42,90.46,Depths,Combat,Autobuild,,,
Tunic of Twilight,18,,18.04,15.33,Armor,Depths,,,,
9 Penn Side Adventures,18,,129.14,109.77,Penn,Stable,Lindor'sBrow,,,
Defeat a Thunder Gleeok,19,16.01,26.18,22.25,Combat,Gleeok,,,,
Complete any Depths Coliseum,19,16.52,16.52,14.04,Combat,Depths,Coliseums,,,
Obtain a Gloom Club,19,15.52,27.31,23.21,Combat,Phantom Ganon,,,,
Obtain 14 Character Profiles,19,,45.08,38.32,Temples,,,,,
15 Shrine Quests,19,101.39,121.39,103.18,Shrines,,,,,
Create a weapon with a base attack power of 90,19,10.10,12.28,10.44,Weapons,Combat,Gerudo Claymore plus Gibdo bone.  Gerudo Spear plus Ancient Blade?,,,
Zonaite Helm,19,13.48,15.11,12.84,Armor,Sky,,,,
15 Bubbul Gems,20,,56.42,47.96,Caves,Koltin,,,,
Defeat a Frost Gleeok,20,,28.05,23.84,Combat,Gleeok,,,,
Lurelin Village Restoration Project SA,20,56.20,67.06,57.00,Side Adventures,Rabella Wetlands,,,,
Complete the Expert Course in Tarrey Town,20,,32.31,27.46,Ulri Mountain,,Must bring steering stick,,,
12 Shrines in the Sky,20,56.19,64.43,54.77,Sky,Shrines,,,,
9 Energy Wells,21,93.34,133.28,113.29,Depths,,,,,
Help Addison 15 times,21,,64.11,54.49,Addison,Travel,,,,
Deliver Mineru’s Mask to the Construct Factory,21,,,0.00,Temples,Depths,Sky,need 10 hearts to open door to mask,,
Obtain White Sword of the Sky,21,,64.38,54.72,Side Quests,Weapons,Sky,Get ,,
Gerudo's Colossal Fossil SQ,21,,64.58,54.89,Side Quests,,,,,
Knight's Saddle & Bridle (23 Pony Points),21,,,0.00,Stables,Travel,,,,
Obtain 8 Sage's Wills,22,,67.55,57.42,Sky,Travel,,,,
Obtain the Evil Spirit Chestpiece,22,,40.27,34.23,Sky,Depths,Combat,Labyrinths,Ulri Mountain,
Obtain the Evil Spirit Greaves,22,,40.11,34.09,Sky,Depths,Combat,Labyrinths,Hebra,
Obtain the Evil Spirit Mask,22,,32.15,27.33,Sky,Depths,Combat,Labyrinths,Gerudo,
10 Fabrics from Sayge,22,,60.33,51.28,Fabrics,Mount Lanayru,Camera,"Cece, Horse, Cucco, Eldin-Ostrich, Grizzlemaw-Bear, Chuchu, Aerocuda, Stalnox, Lynel, Gleeok",,
Retain 25 Unique Zonai Devices,22,44.22,61.40,52.19,Sky,Device Dispensers,,,,
Talk to the 4 Sage Descendants,22,29.48,31.30,26.61,Rospro Pass,Eldin Canyon,Gerudo Canyon,Upland Zorana,,
Obtain a Sage's Vow,23,,58.28,49.54,Temples,Combat,,,,
Majora's Mask,23,28.09,36.18,30.75,Combat,Depths,Armor,Coliseums,"wing, LZC, brightbloom seeds, castle, sapphire, royal weapons, black moblin horns",
Defeat a King Gleeok,23,,29.10,24.74,Combat,Gleeok,,,,
Complete 3 Depths Coliseums,23,48.30,63.25,53.76,Combat,Depths,Coliseums,Boko coliseum with Attack up first,,
Lightning Helm,23,48.23,56.50,48.03,Armor,Gerudo Highlands,Hyrule Field,,,
Defeat an enemy with Earthwake,23,49.28,58.28,49.54,Gerudo Highlands,Hyrule Field,Yiga,Travel,,
Defeat Kohga Three Times,23,,62.24,52.90,Combat,Depths,,,,
Complete 15 Side Quests/Adventures,23,,56.32,47.87,Side Quests,,,,,
Tunic of Memories,23,119.25,164.57,139.88,Depths,Armor,Bargainers,,,
A Monsterous Collection V SA,23,,71.40,60.69,Koltin,Camera,Gleeok,,,
15 Yiga Schematics,23,,,0.00,Depths,Combat,Autobuild,,,
Cap of Twilight,23,30.27,37.38,31.77,Armor,Depths,Combat,Gleeok,,
69 Compendium Entries,23,36.19,40.27,34.23,Compendium,Camera,,,,
Defeat Wind Temple Boss by only Skydiving,24,57.50,90.00,76.50,Combat,Temples,Rospro Pass,,,
Defeat Fire Temple Boss without Yunobo's Ability,24,,93.26,79.27,Combat,Temples,Eldin Canyon,,,
Defeat Water Temple Boss without Sidon's Ability,24,,59.08,50.22,Combat,Temples,Upland Zorana,,,
Complete Lightning Temple without using Ascend,24,,,0.00,Combat,Temples,Gerudo Canyon,,,
Obtain a Champion's Weapon,24,,,0.00,Weapons,Temples,,,,
The Owl Protected by Dragons SA,24,,,0.00,Temples,Rospro Pass,Thyphlo Ruins,,,
The Corridor between Two Dragons SA,24,,103.27,87.78,Temples,Eldin Canyon,Thyphlo Ruins,,,
The Six Dragons SA,24,,74.24,63.10,Temples,Upland Zorana,Thyphlo Ruins,,,
The Long Dragon SA,24,,,0.00,Temples,Gerudo Canyon,Thyphlo Ruins,,,
Obtain a Solemn Vow,25,62.08,78.43,66.67,Temples,Sky,,,,
Activate 20 Lightroots,25,,80.31,68.26,Depths,,,,,
Collect 12 Dragon Tear Memories,25,,,0.00,Lindor's Brow,Tears,,,,
Defeat Kohga Four Times,25,,,0.00,Combat,Depths,Yiga,,,
Obtain the Master Sword,25,,,0.00,Shrines,Weapons,,,,
Presenting: Sensor +! SA,25,,,0.00,Side Adventures,Camera,Temples,Travel,,
Obtain Travel Medallion,25,,,0.00,Temples,Mount Lanayru,,,,
Grab Zelda's Hand,25,,,0.00,Combat,,,,,
Call of the depths side quest,,,59.36,50.46,,,,,,
Picture of triangle on dragon,,,13.30,11.31,,,,,,
